rocks.octavia.app:id/action_bar_root  1137.8 x  663.1 @ (   0.0,   0.0) en=true ck=false txt=''
android:id/content          1137.8 x  663.1 @ (   0.0,   0.0) en=true ck=false txt=''
voltar                        48.0 x   48.0 @ (  24.0,  43.6) en=true ck=true txt=''
buscar                       210.2 x   57.8 @ ( 903.6,  38.7) en=true ck=true txt=''
picker-abrir                 188.9 x   48.0 @ (  24.0, 119.6) en=true ck=true txt=''
reordenar                    143.1 x   48.0 @ ( 228.9, 119.6) en=true ck=true txt=''
setlist-editar               193.8 x   48.0 @ ( 737.3, 119.6) en=true ck=true txt=''
setlist-apagar               166.7 x   48.0 @ ( 947.1, 119.6) en=true ck=true txt=''
song-1                       536.9 x  116.0 @ (  24.0, 200.0) en=true ck=true txt=''
remover-1                     48.0 x   48.0 @ ( 488.0, 234.2) en=true ck=true txt=''
song-2                       536.9 x  116.0 @ ( 576.9, 200.0) en=true ck=true txt=''
remover-2                     48.0 x   48.0 @ (1040.9, 234.2) en=true ck=true txt=''
song-3                       536.9 x  116.0 @ (  24.0, 324.0) en=true ck=true txt=''
remover-3                     48.0 x   48.0 @ ( 488.0, 358.2) en=true ck=true txt=''
song-4                       536.9 x  116.0 @ ( 576.9, 324.0) en=true ck=true txt=''
remover-4                     48.0 x   48.0 @ (1040.9, 358.2) en=true ck=true txt=''
song-5                       536.9 x  116.0 @ (  24.0, 448.0) en=true ck=true txt=''
remover-5                     48.0 x   48.0 @ ( 488.0, 482.2) en=true ck=true txt=''
song-6                       536.9 x  116.0 @ ( 576.9, 448.0) en=true ck=true txt=''
remover-6                     48.0 x   48.0 @ (1040.9, 482.2) en=true ck=true txt=''
song-7                       536.9 x   91.1 @ (  24.0, 572.0) en=true ck=true txt=''
remover-7                     48.0 x   48.0 @ ( 488.0, 606.2) en=true ck=true txt=''
song-8                       536.9 x   91.1 @ ( 576.9, 572.0) en=true ck=true txt=''
remover-8                     48.0 x   48.0 @ (1040.9, 606.2) en=true ck=true txt=''
android:id/navigationBarBackground     0.0 x    0.0 @ (   0.0,   0.0) en=true ck=false txt=''
