$ python3 docs/native/N3-PR5-anexos/instrumentos/g5g6-palco.py docs/native/N3-PR5-anexos/dumps-pai docs/native/N3-PR5-anexos/dumps-ret
G5/G6 — palco, S5, S4, S0, picker e S2p, quatro colunas: tab pai · tab ret · avd pai · avd ret

## S0-erro
  (sem dump: tab pai, tab ret)
  | id | tab pai | tab ret | avd pai | avd ret |
  |---|---|---|---|---|
  | `email` | — | — | 354.7 × 58.2 | 354.7 × 58.7 |
  | `entrar` | — | — | 420.0 × 56.0 | 420.0 × 56.0 |
  | `senha` | — | — | 354.7 × 58.2 | 354.7 × 58.7 |

## S0-login
  (sem dump: tab pai, tab ret)
  | id | tab pai | tab ret | avd pai | avd ret |
  |---|---|---|---|---|
  | `email` | — | — | 354.7 × 58.2 | 354.7 × 58.7 |
  | `entrar` | — | — | 420.0 × 56.0 | 420.0 × 56.0 |
  | `senha` | — | — | 354.7 × 58.2 | 354.7 × 58.7 |

## S2-sem-edicao-S2p
  | id | tab pai | tab ret | avd pai | avd ret |
  |---|---|---|---|---|
  | `buscar` | 210.2 × 57.8 | 210.2 × 57.8 | 210.2 × 57.8 | 210.2 × 57.8 |
  | `song-<n>` | 536.9 × 116.0 ×8 | 663.1 × 116.0 ×7 · 663.1 × 85.8 | 536.9 × 116.0 ×8 | 663.1 × 116.0 ×7 · 663.1 × 73.8 |
  | `voltar` | 48.0 × 48.0 | 48.0 × 48.0 | 48.0 × 48.0 | 48.0 × 48.0 |

## S3-S3a-letra-1a
  | id | tab pai | tab ret | avd pai | avd ret |
  |---|---|---|---|---|
  | `auto-scroll` | 66.2 × 65.8 | 66.2 × 65.8 | 66.2 × 65.8 | 66.2 × 65.8 |
  | `borda-avancar` | 170.7 × 479.1 | 106.7 × 881.8 | 170.7 × 467.1 | 106.7 × 869.8 |
  | `borda-voltar` | 170.7 × 479.1 | 106.7 × 881.8 | 170.7 × 467.1 | 106.7 × 869.8 |
  | `busca` | 66.2 × 65.8 | 66.2 × 65.8 | 66.2 × 65.8 | 66.2 × 65.8 |
  | `indice` | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 |
  | `sair` | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 |
  | `tema` | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 |
  | `zoom-mais` | 66.2 × 65.8 | 66.2 × 65.8 | 66.2 × 65.8 | 66.2 × 65.8 |
  | `zoom-menos` | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 |

## S3-S3b-cifra-claro
  | id | tab pai | tab ret | avd pai | avd ret |
  |---|---|---|---|---|
  | `auto-scroll` | 66.2 × 65.8 | 66.2 × 65.8 | 66.2 × 65.8 | 66.2 × 65.8 |
  | `borda-avancar` | 170.7 × 479.1 | 106.7 × 881.8 | 170.7 × 467.1 | 106.7 × 869.8 |
  | `borda-voltar` | 170.7 × 479.1 | 106.7 × 881.8 | 170.7 × 467.1 | 106.7 × 869.8 |
  | `busca` | 66.2 × 65.8 | 66.2 × 65.8 | 66.2 × 65.8 | 66.2 × 65.8 |
  | `indice` | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 |
  | `sair` | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 |
  | `tema` | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 |
  | `zoom-mais` | 66.2 × 65.8 | 66.2 × 65.8 | 66.2 × 65.8 | 66.2 × 65.8 |
  | `zoom-menos` | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 |

## S3-S3b-cifra-escuro
  | id | tab pai | tab ret | avd pai | avd ret |
  |---|---|---|---|---|
  | `auto-scroll` | 66.2 × 65.8 | 66.2 × 65.8 | 66.2 × 65.8 | 66.2 × 65.8 |
  | `borda-avancar` | 170.7 × 479.1 | 106.7 × 881.8 | 170.7 × 467.1 | 106.7 × 869.8 |
  | `borda-voltar` | 170.7 × 479.1 | 106.7 × 881.8 | 170.7 × 467.1 | 106.7 × 869.8 |
  | `busca` | 66.2 × 65.8 | 66.2 × 65.8 | 66.2 × 65.8 | 66.2 × 65.8 |
  | `indice` | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 |
  | `sair` | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 |
  | `tema` | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 |
  | `zoom-mais` | 66.2 × 65.8 | 66.2 × 65.8 | 66.2 × 65.8 | 66.2 × 65.8 |
  | `zoom-menos` | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 |

## S3-S3c-tab-autoscroll
  | id | tab pai | tab ret | avd pai | avd ret |
  |---|---|---|---|---|
  | `auto-scroll` | 66.2 × 65.8 | 66.2 × 65.8 | 66.2 × 65.8 | 66.2 × 65.8 |
  | `borda-avancar` | 170.7 × 479.1 | 106.7 × 881.8 | 170.7 × 467.1 | 106.7 × 869.8 |
  | `borda-voltar` | 170.7 × 479.1 | 106.7 × 881.8 | 170.7 × 467.1 | 106.7 × 869.8 |
  | `busca` | 66.2 × 65.8 | 66.2 × 65.8 | 66.2 × 65.8 | 66.2 × 65.8 |
  | `indice` | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 |
  | `sair` | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 |
  | `tema` | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 | 65.8 × 65.8 |
