$ python3 docs/native/N3-PR6-anexos/instrumentos/medidas-x.py docs/native/N3-PR6-anexos/dumps-pai-extra docs/native/N3-PR6-anexos/dumps-ret
# em paisagem (C) a régua esperada é 48,0 em todo estado (T3-R7: "em C, 48"); o ✗ das linhas -pai é a régua de B do script, não defeito
linha de aviso — altura (vão entre o nó cheio de cima e o de baixo), texto do motivo, elide?
dump                                                       espécie            altura  folha  errata    motivo (larg × alt)  elide
S1-aviso-sem-rede-avd-pai                             sem-rede             48.0     68    66.2      747.6 ×  21.8  não ✗
S1-aviso-sem-rede-tab-pai                             sem-rede             48.0     68    66.2      747.6 ×  21.8  não ✗
S1-salvo-nao-relido-avd-pai                           salvo-nao-relido     48.0     68    66.2      671.1 ×  21.8  não ✗
S1-salvo-nao-relido-tab-pai                           salvo-nao-relido     48.0     68    66.2      671.1 ×  21.8  não ✗
S2-com-edicao-acima-de-100-avd-pai                    acima-de-100         48.0     68    48.0      611.1 ×  21.8  não ✓
S2-com-edicao-acima-de-100-tab-pai                    acima-de-100         48.0     68    48.0      611.1 ×  21.8  não ✓
S2-com-edicao-aviso-sem-rede-avd-pai                  sem-rede             48.0     68    66.2      762.2 ×  21.8  não ✗
S2-com-edicao-aviso-sem-rede-tab-pai                  sem-rede             48.0     68    66.2      762.2 ×  21.8  não ✗
S2-com-edicao-falhou-avd-pai                          falhou               48.0     70    66.2      817.8 ×  21.8  não ✗
S2-com-edicao-falhou-tab-pai                          falhou               48.0     70    66.2      817.8 ×  21.8  não ✗
S2-com-edicao-limite-avd-pai                          limite               48.0     48    48.0      360.9 ×  21.8  não ✓
S2-com-edicao-limite-tab-pai                          limite               48.0     48    48.0      360.9 ×  21.8  não ✓
S2-com-edicao-salvo-nao-relido-avd-pai                salvo-nao-relido     48.0     68    66.2      583.6 ×  21.8  não ✗
S2-com-edicao-salvo-nao-relido-tab-pai                salvo-nao-relido     48.0     68    66.2      583.6 ×  21.8  não ✗
folha-X-limite-avd-pai                                folha: form-falha    87.6      —       —      654.2 ×  87.6  (cartão)
folha-X-limite-tab-pai                                folha: form-falha    87.6      —       —      654.2 ×  87.6  (cartão)
folha-falhou-avd-pai                                  folha: form-falha    87.6      —       —      654.2 ×  87.6  (cartão)
folha-falhou-tab-pai                                  folha: form-falha    87.6      —       —      654.2 ×  87.6  (cartão)
