# gerado por: node script-a456 dc-all.json palco-exclusivos <dir>  (script: script-a456.txt; grafo do mesmo depcruise da A2)
# contagem por arquivo das superfícies (palco fora). Colunas:
#  hex = /#[0-9a-fA-F]{3,8}/ · rgb/hsl() = /(rgba?|hsla?)\(/ · classe-paleta-tailwind = (bg|text|border|from|to|via|ring|fill|stroke|...)-<cor da paleta>(-NNN)
#  tamanho-fonte = text-(xs|sm|base|lg|xl|Nxl) | text-[Npx] | fontSize: · espaco-classe = (p|m|gap|space)-N · raio-classe = rounded(-*)
# totais (hex, rgb/hsl, paleta, fonte, espaço, raio): 186, 0, 1208, 365, 1003, 197
# hex distintos mais frequentes (xargs grep -ohE '#[0-9a-fA-F]{3,8}' | sort | uniq -c | sort -rn):
  37 #2E7CE4
  30 #1A1F36
  27 #6B7280
  21 #E8E3DA
  11 #F8F9FA
   9 #A69B8E
   9 #000000
   8 #1E5BB8
   7 #F2EDE5
   6 #fffcf7
   6 #fff9f0
   3 #ffff00
   2 #fff5e5
   2 #F39C12
   1 #ffa500
   1 #ff00ff
   1 #ff0000
   1 #f59e0b
   1 #8B7D6F
   1 #00ffff
   1 #00ff00
   1 #0000ff

arquivo	superficies	hex	rgb/hsl()	classe-paleta-tailwind	tamanho-fonte	espaco-classe	raio-classe
app/add-content/page.tsx	upload	0	0	0	0	0	0
app/content/[id]/edit/page.tsx	content-editor	15	0	2	1	9	4
app/content/[id]/page.tsx	content-editor	0	0	0	0	0	0
app/dashboard/page.tsx	content-lista	0	0	0	0	0	0
app/forgot-password/page.tsx	auth	0	0	40	4	13	2
app/layout.tsx	shell	1	0	0	0	0	0
app/library/page.tsx	content-lista	0	0	0	0	0	0
app/login/page.tsx	auth	0	0	2	0	0	0
app/offline/page.tsx	outra	1	0	28	3	20	7
app/page.tsx	outra	0	0	151	19	74	21
app/privacy-policy/page.tsx	outra	0	0	5	9	20	1
app/profile/page.tsx	outra	0	0	0	0	0	0
app/setlists/page.tsx	setlists	0	0	0	0	0	0
app/settings/page.tsx	outra	0	0	0	0	0	0
app/setup/page.tsx	outra	0	0	35	13	30	8
app/signup/confirm-email/page.tsx	auth	0	0	23	5	11	3
app/signup/page.tsx	auth	0	0	26	6	16	12
app/verify-email/page.tsx	auth	0	0	25	5	14	3
components/ProfileForm.tsx	outra	0	0	34	7	15	2
components/add-content-page-client.tsx	upload	4	0	0	0	1	1
components/add-content.tsx	upload	0	0	0	0	0	0
components/add-content/CompletionStep.tsx	upload	0	0	15	5	9	2
components/add-content/ContentTypeSelector.tsx	upload	0	0	5	2	5	1
components/add-content/DetailsStep.tsx	upload	0	0	5	2	5	0
components/add-content/FileUploadZone.tsx	upload	0	0	13	2	7	2
components/add-content/ImportModeSelector.tsx	upload	0	0	13	3	5	1
components/add-content/ModeSelector.tsx	upload	0	0	25	5	7	2
components/add-content/RefactoredAddContent.tsx	upload	0	0	9	1	6	2
components/add-content/StepIndicatorComponent.tsx	upload	0	0	10	2	4	2
components/add-content/upload-to-storage.ts	upload	0	0	0	0	0	0
components/annotation-tools.tsx	content-editor	10	0	5	2	8	3
components/auth/login-panel.tsx	auth	0	0	57	8	27	7
components/auth/signup-panel.tsx	auth	0	0	60	6	27	4
components/batch-preview.tsx	upload	0	0	3	0	10	1
components/bottom-nav.tsx	content-lista,content-editor,upload,setlists,outra	0	0	7	1	7	1
components/chord-editor.tsx	content-editor	0	0	7	4	19	2
components/content-creator.tsx	upload	0	0	12	6	13	0
components/content-edit-page-client.tsx	content-editor	0	0	0	0	0	0
components/content-editor.tsx	content-editor	8	0	18	5	19	2
components/content-page-client.tsx	content-editor	0	0	0	0	0	0
components/content-viewer.tsx	content-editor	2	0	0	0	2	0
components/content-viewer/ChordDisplay.tsx	content-editor	0	0	13	13	20	6
components/content-viewer/ContentDisplay.tsx	content-editor	0	0	2	0	3	0
components/content-viewer/ContentHeader.tsx	content-editor	0	0	24	3	8	1
components/content-viewer/ContentSidebar.tsx	content-editor	0	0	31	20	25	2
components/content-viewer/ContentToolbar.tsx	content-editor	0	0	16	2	9	0
components/content-viewer/DeleteDialog.tsx	content-editor	0	0	0	0	0	0
components/content-viewer/LyricsDisplay.tsx	content-editor	0	0	12	5	13	6
components/content-viewer/SheetMusicDisplay.tsx	content-editor	0	0	12	3	7	4
components/content-viewer/TabDisplay.tsx	content-editor	0	0	6	5	12	5
components/dashboard-page-client.tsx	content-lista	0	0	0	0	0	0
